Filename 	 swathNumber 	 targetMz 	 scansPerSwath 	 AvgMzRange 	 SwathProportionOfTotalTIC 	 swDensityAverage 	 swDensityIQR 	 swAvgProportionSinglyCharged 
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	15	762	2277	25	0.038289598	6246	3183	0.07494303
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	16	787	2277	25	0.040051993	6244	3264	0.074463243
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	17	812	2277	25	0.033843981	6119	3506	0.073998943
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	18	837	2277	25	0.035079794	6032	4034	0.072282758
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	19	862	2277	25	0.032807965	6053	3646	0.071747377
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	20	887	2277	25	0.034193245	5974	3752	0.070350293
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	21	912	2277	25	0.02917256	5878	4078	0.070182281
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	22	937	2277	25	0.028058236	5726	4427	0.068612638
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	23	962	2277	25	0.026734117	5620	4571	0.067616066
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	24	987	2277	25	0.022270885	5476	4746	0.06715149
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	25	1012	2277	25	0.020205221	5251	4941	0.065408879
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	26	1037	2277	25	0.019511751	5196	4893	0.065058605
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	27	1062	2277	25	0.016531127	4953	4661	0.064199785
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	28	1087	2277	25	0.015962525	4764	4892	0.062459304
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	29	1112	2277	25	0.015721345	4715	4875	0.062350669
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	30	1137	2277	25	0.014128442	4565	4872	0.061778002
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	31	1162	2277	25	0.015418018	4615	4950	0.061380943
olgas_K121026_002_SW_Wayne_R1_d05.wiff.scan	32	1187	2277	25	0.012078736	4281	4805	0.0594884
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	1	412.5	2277	25	0.027770919	3148	5002	0.071650635
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	2	437	2277	25	0.031414925	3710	4897	0.074397513
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	3	462	2277	25	0.035317549	4110	4691	0.073818346
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	4	487	2277	25	0.036870629	4568	4097	0.076440712
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	5	512	2277	25	0.038503834	4822	3677	0.077154815
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	6	537	2277	25	0.038660751	5202	2773	0.078175583
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	7	562	2277	25	0.043622424	5585	2670	0.078877622
olgas_K121026_003_SW_Wayne_R1_d10.wiff.scan	8	587	2277	25	0.045080268	5893	2194	0.079269773
